experiment,image_encoder,audio_encoder,K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift,cat_precision_10
direct,clip-large,clap-fused,300,nan,heldout,0.0,0.0,0.0,0.043478260869565216,4,15,0.12173913043478261,0.5012835264205933,0.6732795314242068,0.13965693839103835,0.11514662362119989,0.6732795314242068,0.5705496804924106,0.8211268468396314,0.26881125497846897,0.2200397438365372,0.20932962666657925,0.6059222010324534,0.05948162831188972,0.16086956521739132
c-transitive,clip-large,clap-larger,300,0.5,aggregate,0.355,0.5775,0.66,0.7525,6,15,0.0345,0.16227519512176514,0.20968304244216698,0.11581035590407479,0.04480403691618533,0.209683042442167,0.21305557798790917,0.2064156133525279,0.3495523140468104,0.3359787013939659,0.21744189226661895,0.38759736589986515,0.13211042178019147,0.28
c-transitive,clip-large,clap-larger,300,0.5,heldout,0.06451612903225806,0.22580645161290322,0.2903225806451613,0.5161290322580645,10,15,0.019354838709677424,0.08588456362485886,0.6568981494170256,0.03604628292679241,0.019021269237420025,0.6568981494170257,0.650803468711488,0.6631080608549296,0.36220974757840174,0.3619764203434842,0.22612159460164155,0.6597689602621222,0.1360881529767602,0.26129032258064516
d,clip-large,clap-larger,0,0.7,aggregate,0.07,0.155,0.24,0.35,8,15,0.035500000000000004,0.4012644588947296,0.17812333352178744,0.08009107411797643,0.03285235707220138,0.1781233335217874,0.1800245180884942,0.17626188498692147,0.5261588940936279,0.4875987308808974,0.21744189226661895,0.38759736589986515,0.308717001827009,0.1795
d,clip-large,clap-larger,0,0.7,heldout,0.12903225806451613,0.22580645161290322,0.2903225806451613,0.3870967741935484,4,15,0.0064516129032258064,0.2622484564781189,0.637396312772816,0.02727152046901037,0.01380239017000505,0.637396312772816,0.622444673871386,0.6530839321479969,0.5764730582793626,0.5350826188459135,0.22612159460164155,0.6597689602621222,0.350351463677721,0.21612903225806443
unsup,clip-large,clap-larger,0,1.0,aggregate,0.0075,0.0225,0.0575,0.105,4,15,0.10400000000000001,0.6799560189247131,0.38767047355581336,0.31534079882727606,0.18535242065544738,0.38767047355581336,0.3876487658219679,0.3876921837209943,0.2825638411144864,0.24058288089292687,0.21744189226661895,0.38759736589986515,0.06512194884786746,0.11975
unsup,clip-large,clap-larger,0,1.0,heldout,0.0,0.03225806451612903,0.0967741935483871,0.16129032258064516,1,15,0.08387096774193549,0.48754724860191345,0.729981338253208,0.28316209097790646,0.24732923276141147,0.729981338253208,0.7090890042846533,0.7521421747806408,0.3100374866961154,0.24851390247645902,0.22612159460164155,0.6597689602621222,0.08391589209447387,0.11290322580645162
text,clip-large,clap-larger,0,nan,aggregate,0.0625,0.1675,0.2325,0.32,2,15,0.026000000000000006,0.29019954800605774,0.24603952828771486,0.15603487460402765,0.081777493568911,0.24603952828771491,0.24086350769522194,0.251442893908179,0.6260784439604461,0.36467121365230853,0.21744189226661895,0.38759736589986515,0.4086365516938272,0.17725000000000002
text,clip-large,clap-larger,0,nan,heldout,0.0967741935483871,0.22580645161290322,0.2903225806451613,0.3870967741935484,8,15,0.025806451612903226,0.38273924589157104,0.7414699571318814,0.2675305951008375,0.18986666666666666,0.7414699571318814,0.7374477991247554,0.7455362307360831,0.6597689602621222,0.3342009748425782,0.22612159460164155,0.6597689602621222,0.4336473656604806,0.22903225806451613
random,clip-large,clap-larger,0,nan,aggregate,0.0,0.01,0.025,0.04,0,15,0.013000000000000001,0.002554189180955291,0.10817210505552344,0.0021877559511989638,0.00035422332631480485,0.10817210505552342,0.10995712590233732,0.10644411370950681,0.20074966403018457,0.2182743484366396,0.21744189226661895,0.38759736589986515,-0.016692228236434375,0.06575
random,clip-large,clap-larger,0,nan,heldout,0.0,0.03225806451612903,0.06451612903225806,0.06451612903225806,2,15,0.025806451612903226,-0.10863292962312698,0.6492042740315589,-0.002260176457006196,-0.003658313517468447,0.649204274031559,0.6481842590760453,0.6502275043393388,0.19471977975731472,0.22752486835792202,0.22612159460164155,0.6597689602621222,-0.03140181484432683,0.05483870967741936
procrustes,clip-large,clap-larger,300,nan,aggregate,0.6275,0.6925,0.73,0.795,0,15,0.056999999999999995,0.32769662141799927,0.24992119770777568,0.16152432899493466,0.07387691918694174,0.2499211977077757,0.2499494990404994,0.24989290278334456,0.36862480067135556,0.22805568407459575,0.21744189226661895,0.38759736589986515,0.1511829084047366,0.29150000000000004
procrustes,clip-large,clap-larger,300,nan,heldout,0.0,0.0,0.03225806451612903,0.0967741935483871,2,15,0.05806451612903226,0.2341357171535492,0.6552710086901955,0.18200156393530822,0.11254560763401628,0.6552710086901956,0.6099405370726186,0.7078803149683478,0.39391358579016045,0.23493341018694397,0.22612159460164155,0.6597689602621222,0.1677919911885189,0.2161290322580645
direct,clip-large,clap-larger,300,nan,aggregate,0.315,0.565,0.64,0.7025,1,15,0.064,0.37015342712402344,0.28273489253999806,0.2007943039090537,0.092086074472567,0.28273489253999806,0.27642539861801435,0.2893391466953442,0.3563963568393986,0.2293153838144223,0.21744189226661895,0.38759736589986515,0.13895446457277963,0.35475
direct,clip-large,clap-larger,300,nan,heldout,0.0,0.0,0.03225806451612903,0.06451612903225806,2,15,0.025806451612903226,0.3400377035140991,0.7243767539106307,0.3224271522080493,0.3005534269902086,0.7243767539106308,0.6820717104656339,0.7722767018517238,0.3471810335568584,0.23715302614777412,0.22612159460164155,0.6597689602621222,0.12105943895521687,0.25161290322580643
c-transitive,clip-large,clap-unfused,300,0.5,aggregate,0.2625,0.4625,0.5625,0.65,8,15,0.035500000000000004,0.15354788303375244,0.21409440339281657,0.12054578022348805,0.045166525109143214,0.21409440339281655,0.2171267484030394,0.2111455899425985,0.34081166134530677,0.3324928308852648,0.21744189226661895,0.38759736589986515,0.12336976907868782,0.31425000000000003
c-transitive,clip-large,clap-unfused,300,0.5,heldout,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.4,7,15,0.04000000000000001,0.1343521773815155,0.7401971216216057,0.2620646769888263,0.15397504562999312,0.7401971216216057,0.7863825243179335,0.6991358447845855,0.33492562283545707,0.34575249801734104,0.22755996447907997,0.6457622410422182,0.1073656583563771,0.27999999999999997
d,clip-large,clap-unfused,0,0.7,aggregate,0.0575,0.1675,0.225,0.3325,7,15,0.04,0.42670607566833496,0.22390042616947534,0.13152884220606328,0.053954883336921104,0.2239004261694753,0.22780632517533597,0.22012620814935374,0.5251081305111819,0.48849859228330383,0.21744189226661895,0.38759736589986515,0.30766623824456296,0.19225
d,clip-large,clap-unfused,0,0.7,heldout,0.13333333333333333,0.2,0.26666666666666666,0.43333333333333335,7,15,0.03333333333333333,0.37443581223487854,0.7359608524834746,0.29501842991222754,0.18872651356993736,0.7359608524834745,0.7600599538128111,0.7133429983094779,0.5600826186673586,0.526755668352368,0.22755996447907997,0.6457622410422182,0.33252265418827864,0.25
unsup,clip-large,clap-unfused,0,1.0,aggregate,0.0,0.0075,0.02,0.065,3,15,0.1,0.6721245646476746,0.3737089662972356,0.2988125466335536,0.15772414143806887,0.37370896629723566,0.37236514967225637,0.3750625173658208,0.22440486939129678,0.23511618597344922,0.21744189226661895,0.38759736589986515,0.006962977124677833,0.0925
unsup,clip-large,clap-unfused,0,1.0,heldout,0.0,0.03333333333333333,0.06666666666666667,0.1,2,15,0.060000000000000005,0.564187228679657,0.7154148348485944,0.29082918339541,0.1736709256030602,0.7154148348485942,0.7157041303759982,0.7151257730995999,0.1615359815083259,0.2214458094594884,0.22755996447907997,0.6457622410422182,-0.06602398297075407,0.16999999999999998
text,clip-large,clap-unfused,0,nan,aggregate,0.0625,0.1675,0.2325,0.32,2,15,0.025500000000000002,0.3150421977043152,0.25784025710385416,0.1681126152666673,0.08192784244562584,0.25784025710385416,0.2529199586554781,0.26295579240699746,0.6260784439604461,0.36467121365230853,0.21744189226661895,0.38759736589986515,0.4086365516938272,0.18875
text,clip-large,clap-unfused,0,nan,heldout,0.1,0.23333333333333334,0.3,0.3333333333333333,5,15,0.013333333333333334,0.34686052799224854,0.6831085595068951,0.20866563068051666,0.14584285983269227,0.6831085595068952,0.6877067606055727,0.6785714397365727,0.6457622410422182,0.3273016151088771,0.22755996447907997,0.6457622410422182,0.41820227656313824,0.22999999999999998
